1-1	0-7	Neonata
11-13	1348-1359	soprattutto
11-14	1360-1367	stomaco
11-15	1368-1370	ed
11-16	1371-1380	intestino
11-17	1380-1381	,
11-18	1382-1385	che
11-19	1386-1396	apparivano
11-20	1397-1406	dislocati
11-21	1407-1412	verso
11-22	1413-1421	sinistra
11-23	1422-1427	dalla
11-24	1428-1433	cisti
11-25	1434-1441	ovarica
11-26	1441-1442	.

12-1	1443-1450	L'esame
12-2	1451-1461	istologico
12-3	1462-1464	ha
12-4	1465-1475	consentito
12-5	1476-1478	di
12-6	1479-1484	porre
12-7	1485-1487	la
12-8	1488-1496	diagnosi
12-9	1497-1499	di
12-10	1500-1505	cisti
12-11	1506-1517	follicolare
12-12	1517-1518	.

13-1	1519-1521	Il
13-2	1522-1529	decorso
13-3	1530-1534	post
13-4	1535-1545	operatorio
13-5	1546-1549	non
13-6	1550-1552	ha
13-7	1553-1563	presentato
13-8	1564-1575	complicanze
13-9	1576-1577	e
13-10	1578-1580	la
13-11	1581-1588	piccola
13-12	1589-1597	paziente
13-13	1598-1600	ha
13-14	1601-1607	potuto
13-15	1608-1618	finalmente
13-16	1619-1630	alimentarsi
13-17	1631-1644	adeguatamente
13-18	1644-1645	.

14-1	1646-1658	L'incremento
14-2	1659-1668	ponderale
14-3	1669-1674	nelle
14-4	1675-1684	settimane
14-5	1685-1695	successive
14-6	1696-1697	è
14-7	1698-1703	stato
14-8	1704-1712	regolare
14-9	1713-1714	e
14-10	1715-1718	non
14-11	1719-1721	si
14-12	1722-1726	sono
14-13	1727-1730	più
14-14	1731-1741	verificati
14-15	1742-1749	episodi
14-16	1750-1752	di
14-17	1753-1758	apnea
14-18	1759-1762	con
14-19	1763-1770	cianosi
14-20	1770-1771	,
14-21	1772-1774	né
14-22	1775-1780	altri
14-23	1781-1786	segni
14-24	1787-1788	o
14-25	1789-1796	sintomi
14-26	1797-1799	da
14-27	1800-1808	riferire
14-28	1809-1810	a
14-29	1811-1819	reflusso
14-30	1820-1826	gastro
14-31	1827-1835	esofageo
14-32	1835-1836	.
