1-1	0-2	14
6-4	695-704	azterketa
6-5	705-723	mikrobiologikoetan
6-6	724-725	S
6-7	725-726	.

7-1	727-733	Aureus
7-2	734-743	metizilin
7-3	744-757	erresistentea
7-4	758-765	isolatu
7-5	766-769	zen
7-6	769-770	.

8-1	772-784	Metronidazol
8-2	784-785	,
8-3	786-797	Bankomizina
8-4	798-801	eta
8-5	802-811	linezolid
8-6	812-822	tratamendu
8-7	823-835	antibiotikoa
8-8	836-840	hasi
8-9	841-844	zen
8-10	844-845	.

9-1	847-851	Hala
9-2	852-855	ere
9-3	855-856	,
9-4	857-858	S
9-5	858-859	.

10-1	860-866	Aureus
10-2	867-876	metizilin
10-3	877-890	erresistentea
10-4	891-898	isolatu
10-5	899-902	eta
10-6	903-907	gero
10-7	907-908	,
10-8	909-922	metronidazola
10-9	923-928	kendu
10-10	929-932	eta
10-11	933-944	gainontzeko
10-12	945-952	terapia
10-13	953-965	antibiotikoa
10-14	966-967	4
10-15	968-975	astetan
10-16	976-981	zehar
10-17	982-990	jarraitu
10-18	991-994	zen
10-19	994-995	.

11-1	997-1002	Baita
11-2	1003-1006	ere
11-3	1007-1019	kraniektomia
11-4	1020-1028	frontala
11-5	1029-1035	burutu
11-6	1035-1036	,
11-7	1037-1044	abzesua
11-8	1045-1053	drainatu
11-9	1054-1057	eta
11-10	1058-1064	partxe
11-11	1065-1076	periostikoa
11-12	1077-1082	jarri
11-13	1083-1088	ziren
11-14	1088-1089	.

12-1	1091-1094	Bai
12-2	1095-1103	garuneko
12-3	1104-1111	laginan
12-4	1112-1115	bai
12-5	1116-1127	sudurrekoan
12-6	1128-1136	egindako
12-7	1137-1146	kultiboek
12-8	1147-1156	baieztatu
12-9	1157-1162	zuten
12-10	1163-1164	S
12-11	1164-1165	.

13-1	1166-1172	Aureus
13-2	1173-1182	metizilin
13-3	1183-1199	erresistentearen
13-4	1200-1205	andui
13-5	1206-1213	berbera
13-6	1214-1218	zela
13-7	1218-1219	.

14-1	1221-1236	Ospitalizazioan
14-2	1237-1242	zehar
14-3	1242-1243	,
14-4	1244-1256	pazientearen
14-5	1257-1265	eboluzio
14-6	1266-1274	klinikoa
14-7	1275-1281	egokia
14-8	1282-1286	izan
14-9	1287-1292	zenez
14-10	1292-1293	,
14-11	1294-1298	alta
14-12	1299-1303	eman
14-13	1304-1310	zioten
14-14	1310-1311	.

15-1	1313-1324	Familiarren
15-2	1325-1331	artean
15-3	1331-1332	,
15-4	1333-1343	eramaileen
15-5	1344-1353	azterketa
15-6	1354-1367	diagnostikoak
15-7	1368-1374	burutu
15-8	1375-1378	eta
15-9	1379-1394	erradikaziorako
15-10	1395-1400	pauta
15-11	1401-1413	antibiotikoa
15-12	1414-1420	ezarri
15-13	1421-1427	zieten
15-14	1427-1428	.

16-1	1430-1436	Umeari
16-2	1437-1445	hilabete
16-3	1446-1449	bat
16-4	1450-1457	geroago
16-5	1458-1466	egindako
16-6	1467-1477	azterketak
16-7	1478-1488	sintomarik
16-8	1489-1495	gabeko
16-9	1496-1502	egoera
16-10	1503-1512	baieztatu
16-11	1513-1517	zuen
16-12	1518-1521	eta
16-13	1522-1533	kontrolezko
16-14	1534-1542	garuneko
16-15	1543-1547	OTAn
16-16	1548-1560	hondar-lesio
16-17	1561-1568	minimoa
16-18	1569-1577	antzeman
16-19	1578-1581	zen
16-20	1581-1582	.
