1-1	0-2	25
6-4	558-566	ikusketa
6-5	567-573	burutu
6-6	574-582	zitzaion
6-7	582-583	,
6-8	584-591	Douglas
6-9	592-595	eta
6-10	596-605	eskuineko
6-11	606-621	parietokolikoan
6-12	622-629	abszesu
6-13	630-633	bat
6-14	634-641	agertuz
6-15	641-642	.

7-1	643-654	Zazpigarren
7-2	655-662	egunean
7-3	662-663	,
7-4	664-673	ebakuntza
7-5	674-680	zauria
7-6	681-686	zoldu
7-7	687-691	egin
7-8	692-695	zen
7-9	696-699	eta
7-10	700-707	sukarra
7-11	708-714	agertu
7-12	715-718	zen
7-13	718-719	.

8-1	720-724	OTAn
8-2	725-735	giltzurrun
8-3	736-743	aurreko
8-4	744-750	gunean
8-5	751-758	abszesu
8-6	759-762	bat
8-7	763-766	eta
8-8	767-774	erraiak
8-9	775-786	abdomenetik
8-10	787-789	at
8-11	790-795	ikusi
8-12	796-801	ziren
8-13	801-802	.

9-1	803-813	Hirugarren
9-2	814-819	aldiz
9-3	820-829	ebakuntza
9-4	830-836	burutu
9-5	837-840	zen
9-6	840-841	,
9-7	842-851	garbiketa
9-8	852-855	eta
9-9	856-867	Friedrich-a
9-10	868-872	egin
9-11	873-882	zirelarik
9-12	882-883	.

10-1	884-888	Hala
10-2	889-892	eta
10-3	893-899	guztiz
10-4	900-903	ere
10-5	903-904	,
10-6	905-912	gaixoak
10-7	913-927	hemodinamikoki
10-8	928-938	desegonkor
10-9	939-947	jarraitu
10-10	948-952	zuen
10-11	952-953	,
10-12	954-966	hematokritoa
10-13	967-974	jaitsiz
10-14	975-978	eta
10-15	979-996	leukozitoziarekin
10-16	996-997	.

11-1	998-1007	Laugarren
11-2	1008-1018	ebakuntzan
11-3	1019-1027	hematoma
11-4	1028-1035	haundia
11-5	1036-1041	ikusi
11-6	1042-1045	zen
11-7	1046-1055	Douglasen
11-8	1055-1056	,
11-9	1057-1061	odol
11-10	1062-1068	jarioa
11-11	1069-1075	nondik
11-12	1076-1084	zetorren
11-13	1085-1089	ezin
11-14	1090-1099	bilaturik
11-15	1099-1100	.

12-1	1101-1108	Garbitu
12-2	1109-1112	eta
12-3	1113-1121	saratoga
12-4	1122-1128	tipoko
12-5	1129-1137	drenajea
12-6	1138-1144	kokatu
12-7	1145-1150	ziren
12-8	1150-1151	.

13-1	1152-1161	Seigarren
13-2	1162-1169	egunean
13-3	1169-1170	,
13-4	1171-1178	gaixoak
13-5	1179-1188	klinikoki
13-6	1189-1195	gaizki
13-7	1196-1206	jarraitzen
13-8	1207-1211	zuen
13-9	1211-1212	,
13-10	1213-1218	beraz
13-11	1218-1219	,
13-12	1220-1223	OTA
13-13	1224-1227	bat
13-14	1228-1232	egin
13-15	1233-1241	zitzaion
13-16	1241-1242	.

14-1	1243-1248	Hemen
14-2	1249-1259	Douglas-en
14-3	1260-1267	likidoa
14-4	1268-1275	zegoela
14-5	1276-1281	ikusi
14-6	1282-1285	zen
14-7	1286-1289	eta
14-8	1290-1300	bostgarren
14-9	1301-1306	aldiz
14-10	1307-1316	garbiketa
14-11	1317-1326	ebakuntza
14-12	1327-1330	bat
14-13	1331-1337	burutu
14-14	1338-1346	zitzaion
14-15	1346-1347	.

15-1	1348-1356	Azkeneko
15-2	1357-1366	ebakuntza
15-3	1367-1372	honen
15-4	1373-1385	biharamunean
15-5	1385-1386	,
15-6	1387-1399	transaminasa
15-7	1400-1403	eta
15-8	1404-1416	bilirrubinak
15-9	1417-1421	gora
15-10	1422-1426	egin
15-11	1427-1432	zuten
15-12	1432-1433	.

16-1	1434-1442	Sabeleko
16-2	1443-1452	ekografia
16-3	1453-1458	batek
16-4	1459-1465	berriz
16-5	1465-1466	,
16-6	1467-1469	ez
16-7	1470-1474	zuen
16-8	1475-1482	inolako
16-9	1483-1494	aldaketarik
16-10	1495-1500	ikusi
16-11	1500-1501	.

17-1	1502-1514	Ekografiaren
17-2	1515-1522	emaitza
17-3	1523-1530	ikusita
17-4	1531-1539	nutrizio
17-5	1540-1551	parenterala
17-6	1552-1557	kendu
17-7	1558-1566	zitzaion
17-8	1567-1570	eta
17-9	1571-1577	gaixoa
17-10	1578-1585	golpera
17-11	1586-1592	hobetu
17-12	1593-1596	zen
17-13	1596-1597	.

18-1	1598-1605	Horrela
18-2	1605-1606	,
18-3	1607-1616	ingresatu
18-4	1617-1624	zenetik
18-5	1625-1646	hogeitaemeretzigarren
18-6	1647-1654	egunean
18-7	1655-1666	ospitaletik
18-8	1667-1671	alta
18-9	1672-1676	eman
18-10	1677-1685	zitzaion
18-11	1685-1686	.

19-1	1687-1697	Astebetera
19-2	1697-1698	,
19-3	1699-1705	gaixoa
19-4	1706-1718	sukarragatik
19-5	1719-1732	Larraldietara
19-6	1733-1741	bueltatu
19-7	1742-1745	zen
19-8	1745-1746	.

20-1	1747-1750	OTA
20-2	1751-1757	burutu
20-3	1758-1765	ondoren
20-4	1765-1766	,
20-5	1767-1776	eskuineko
20-6	1777-1786	mokorrean
20-7	1787-1797	dentsitate
20-8	1798-1806	haundiko
20-9	1807-1814	bilduma
20-10	1815-1818	bat
20-11	1819-1824	ikusi
20-12	1825-1828	zen
20-13	1828-1829	,
20-14	1830-1838	kirurgia
20-15	1839-1845	osteko
20-16	1846-1854	hematoma
20-17	1855-1858	bat
20-18	1859-1865	ematen
20-19	1866-1874	zuelarik
20-20	1874-1875	.

21-1	1876-1885	Bederatzi
21-2	1886-1890	egun
21-3	1891-1901	ospitalean
21-4	1902-1917	antibiotikoekin
21-5	1918-1923	igaro
21-6	1924-1931	ondoren
21-7	1932-1936	alta
21-8	1937-1941	eman
21-9	1942-1950	zitzaion
21-10	1950-1951	.
